date,available_supply
2009-01-08,0.33464254621423
2009-01-09,5.0196381932135
2009-01-10,25.432833512282
2009-01-11,56.554590310205
2009-01-12,92.373473557287
2009-01-13,133.49969534555
2009-01-14,176.65077557503
2009-01-15,241.2472260288
2009-01-16,267.51179343571
2009-01-17,302.44051499134
2009-01-18,338.23600587029
2009-01-19,369.07860584853
2009-01-20,407.2202255826
2009-01-21,441.34812933925
2009-01-22,471.79566265139
2009-01-23,499.90196227036
2009-01-24,567.15699286567
2009-01-25,631.06749141861
2009-01-26,663.19075805008
2009-01-27,695.64870724869
2009-01-28,733.12673787962
2009-01-29,773.61655734864
2009-01-30,812.76787237577
2009-01-31,868.87974681777
2009-02-01,920.22709664589
2009-02-02,969.89476140434
2009-02-03,1076.9375686828
2009-02-04,1116.5307994774
2009-02-05,1158.3782108425
2009-02-06,1199.1362949353
2009-02-07,1242.2319071634
2009-02-08,1275.9196145481
2009-02-09,1320.7125277779
2009-02-10,1360.848116716
2009-02-11,1405.3350335876
2009-02-12,1445.1481559449
2009-02-13,1486.6349935471
2009-02-14,1532.1376214029
2009-02-15,1574.9637574099
2009-02-16,1615.7820198767
2009-02-17,1654.9280664418
2009-02-18,1694.4083918491
2009-02-19,1735.897544643
2009-02-20,1776.7175678199
2009-02-21,1814.8606728115
2009-02-22,1855.3468100358
2009-02-23,1891.4827065236
2009-02-24,1926.9495496373
2009-02-25,1962.0820244328
2009-02-26,1997.8836022847
2009-02-27,2036.3629049297
2009-02-28,2069.4879018911
2009-03-01,2104.6210807228
2009-03-02,2140.7581612929
2009-03-03,2175.8916584765
2009-03-04,2210.7374234617
2009-03-05,2248.2136055083
2009-03-06,2287.3632556035
2009-03-07,2323.8359624588
2009-03-08,2362.3163312828
2009-03-09,2398.4545798306
2009-03-10,2434.2582857779
2009-03-11,2472.4045848068
2009-03-12,2511.889578019
2009-03-13,2549.7011222221
2009-03-14,2586.5091190985
2009-03-15,2627.6673971114
2009-03-16,2668.1565328391
2009-03-17,2706.3032194308
2009-03-18,2744.4498987744
2009-03-19,2785.273902279
2009-03-20,2824.7594029839
2009-03-21,2841.4910121823
2009-03-22,2881.311385114
2009-03-23,2924.8124881087
2009-03-24,2959.9478373748
2009-03-25,2999.0989767053
2009-03-26,3038.2500339643
2009-03-27,3073.7202783929
2009-03-28,3113.5407932468
2009-03-29,3152.3574307956
2009-03-30,3192.5128087618
2009-03-31,3229.3216631604
2009-04-01,3267.4691529978
2009-04-02,3305.9513475074
2009-04-03,3344.7682989999
2009-04-04,3382.5813587987
2009-04-05,3426.0832183838
2009-04-06,3462.5577454633
2009-04-07,3496.0204564072
2009-04-08,3531.1564814014
2009-04-09,3564.284779038
2009-04-10,3600.4248075238
2009-04-11,3640.5805294266
2009-04-12,3680.0669060948
2009-04-13,3718.5494616341
2009-04-14,3760.0438431957
2009-04-15,3797.8572544217
2009-04-16,3839.0170455322
2009-04-17,3876.4958618955
2009-04-18,3989.7459833053
2009-04-19,4029.5666431413
2009-04-20,4069.3874767417
2009-04-21,4110.5468137052
2009-04-22,4151.0368602547
2009-04-23,4176.1339415197
2009-04-24,4214.6161506076
2009-04-25,4254.1024101123
2009-04-26,4291.5808429269
2009-04-27,4326.3821631807
2009-04-28,4365.533948767
2009-04-29,4408.3666081962
2009-04-30,4452.203193087
2009-05-01,4492.6935121444
2009-05-02,4536.2874469216
2009-05-03,4596.4237527875
2009-05-04,4639.2565937481
2009-05-05,4684.43197268
2009-05-06,4729.6074198527
2009-05-07,4770.4326083987
2009-05-08,4806.2381919706
2009-05-09,4832.3396264386
2009-05-10,4860.7834385525
2009-05-11,4950.1779287013
2009-05-12,4993.6801738652
2009-05-13,5030.9671025166
2009-05-14,5077.4791469872
2009-05-15,5122.9893321935
2009-05-16,5162.8106650398
2009-05-17,5205.309043336
2009-05-18,5244.7957213939
2009-05-19,5273.5741844455
2009-05-20,5313.7302388875
2009-05-21,5341.1701527841
2009-05-22,5361.5827462361
2009-05-23,5372.2909795401
2009-05-24,5405.7543629166
2009-05-25,5442.2293696968
2009-05-26,5484.0586953335
2009-05-27,5523.8802576564
2009-05-28,5555.6704219696
2009-05-29,5591.141601479
2009-05-30,5627.616711235
2009-05-31,5659.7416378593
2009-06-01,5683.501985446
2009-06-02,5720.6463208378
2009-06-03,5744.4053121416
2009-06-04,5766.4911069729
2009-06-05,5776.5301337688
2009-06-06,5785.8998665456
2009-06-07,5791.2540184283
2009-06-08,5818.694214095
2009-06-09,5849.1461089298
2009-06-10,5876.5862744321
2009-06-11,5906.3689613267
2009-06-12,5935.1477341341
2009-06-13,5961.2493327623
2009-06-14,5985.3432394232
2009-06-15,6013.452691505
2009-06-16,6037.2118317804
2009-06-17,6063.6480614946
2009-06-18,6090.4189565383
2009-06-19,6119.5323716666
2009-06-20,6145.6340345475
2009-06-21,6172.7395844193
2009-06-22,6198.1719695065
2009-06-23,6223.6029852441
2009-06-24,6255.3918035917
2009-06-25,6278.146710874
2009-06-26,6308.2639787633
2009-06-27,6327.5371836592
2009-06-28,6367.5958536123
2009-06-29,6437.5006582958
2009-06-30,6423.8148553052
2009-07-01,6448.5780197597
2009-07-02,6478.4986817671
2009-07-03,6505.608847309
2009-07-04,6535.1728000348
2009-07-05,6561.5598892176
2009-07-06,6589.6510085082
2009-07-07,6612.7254013908
2009-07-08,6637.4752125071
2009-07-09,6666.2425353684
2009-07-10,6693.3381177695
2009-07-11,6721.0963013927
2009-07-12,6746.8343576274
2009-07-13,6772.9317236958
2009-07-14,6796.0216390406
2009-07-15,6811.0802847189
2009-07-16,6834.8394902529
2009-07-17,6850.5674318764
2009-07-18,6851.9060020612
2009-07-19,6875.3306357581
2009-07-20,8189.5298044573
2009-07-21,8365.958378004
2009-07-22,8386.036658847
2009-07-23,8709.4340714905
2009-07-24,8882.8363437378
2009-07-25,9092.1628468009
2009-07-26,9397.0747937975
2009-07-27,9670.0161368372
2009-07-28,10080.642038126
2009-07-29,10285.331245491
2009-07-30,10489.265340193
2009-07-31,10643.516918063
2009-08-01,11097.94639538
2009-08-02,11500.09170601
2009-08-03,11749.849696925
2009-08-04,12021.909227232
2009-08-05,12392.285986072
2009-08-06,12857.402754103
2009-08-07,7998.4223112998
2009-08-08,8273.5179557346
2009-08-09,8754.3004988108
2009-08-10,9127.0512324499
2009-08-11,9150.4758682051
2009-08-12,9221.222511919
2009-08-13,9597.3160148116
2009-08-14,9668.0619873812
2009-08-15,9676.7626935828
2009-08-16,9683.1209019606
2009-08-17,9688.8098252465
2009-08-18,9692.1562507085
2009-08-19,9698.1798165403
2009-08-20,9705.5419525572
2009-08-21,9710.2269482042
2009-08-22,9712.5694460275
2009-08-23,9717.5890842208
2009-08-24,9722.6086645436
2009-08-25,9739.3405290665
2009-08-26,7471.2832127588
2009-08-27,7480.9877830644
2009-08-28,7506.0856512608
2009-08-29,7532.1874303855
2009-08-30,7564.6474139842
2009-08-31,7593.4263628563
2009-09-01,7619.5281855955
2009-09-02,7641.6142995593
2009-09-03,7662.0271904124
2009-09-04,7683.4440711627
2009-09-05,7708.8765796029
2009-09-06,7731.6319677276
2009-09-07,7757.7337713859
2009-09-08,7780.8238059506
2009-09-09,7798.8942334596
2009-09-10,7821.3149690512
2009-09-11,7843.7357298248
2009-09-12,7866.825783195
2009-09-13,7891.9236706817
2009-09-14,7916.6869005528
2009-09-15,7931.410997171
2009-09-16,7955.5049789462
2009-09-17,8033.1607870583
2009-09-18,8059.2626110041
2009-09-19,8084.0258556092
2009-09-20,8110.1276614412
2009-09-21,8133.2177353767
2009-09-22,8141.5837718516
2009-09-23,8153.6307786908
2009-09-24,8186.0908354819
2009-09-25,8315.8736846666
2009-09-26,8349.3376669588
2009-09-27,8378.4512713158
2009-09-28,8555.8914782607
2009-09-29,8784.0005171942
2009-09-30,8961.4399137737
2009-10-01,9187.539000662
2009-10-02,9608.9398123152
2009-10-03,10174.579165384
2009-10-04,10390.900770845
2009-10-05,10558.218534202
2009-10-06,10919.933939779
2009-10-07,11287.030036484
2009-10-08,11805.22393403
2009-10-09,12029.400725201
2009-10-10,12251.832022287
2009-10-11,12620.050183912
2009-10-12,19350.465334453
2009-10-13,19518.920228439
2009-10-14,19930.465883921
2009-10-15,20357.449914137
2009-10-16,20701.320094067
2009-10-17,20811.498694811
2009-10-18,20747.354044924
2009-10-19,20762.744437579
2009-10-20,15918.54604335
2009-10-21,14986.027114705
2009-10-22,15016.144835914
2009-10-23,15024.202295363
2009-10-24,15023.288973893
2009-10-25,15027.126143316
2009-10-26,15050.8856664
2009-10-27,15029.312093998
2009-10-28,15051.398395085
2009-10-29,15024.074897085
2009-10-30,15044.153328897
2009-10-31,15059.546871531
2009-11-01,15067.912935186
2009-11-02,15078.956047537
2009-11-03,15057.267417879
2009-11-04,15078.349811793
2009-11-05,15097.424341022
2009-11-06,15118.172083194
2009-11-07,15141.262318633
2009-11-08,15165.691153042
2009-11-09,15187.108176149
2009-11-10,15213.210195134
2009-11-11,15234.627294407
2009-11-12,15256.713636208
2009-11-13,15283.484907714
2009-11-14,15309.921532382
2009-11-15,15320.936131533
2009-11-16,15311.392723361
2009-11-17,15342.179688449
2009-11-18,15306.167058776
2009-11-19,15288.337363107
2009-11-20,15195.217249596
2009-11-21,15179.647050552
2009-11-22,15215.118999869
2009-11-23,15187.851376395
2009-11-24,15179.784915518
2009-11-25,15151.736979109
2009-11-26,15141.483387863
2009-11-27,15128.21602582
2009-11-28,15133.085238734
2009-11-29,15134.356953436
2009-11-30,15140.732036311
2009-12-01,19717.932702595
2009-12-02,19749.388959949
2009-12-03,19778.837371339
2009-12-04,19790.884503003
2009-12-05,19812.301621545
2009-12-06,19846.769702384
2009-12-07,19884.249509311
2009-12-08,19919.386840877
2009-12-09,19960.893825132
2009-12-10,20045.361851268
2009-12-11,20132.506973126
2009-12-12,24329.806972476
2009-12-13,25150.594640298
2009-12-14,25824.975966517
2009-12-15,22418.095463065
2009-12-16,22221.141655342
2009-12-17,22086.990407094
2009-12-18,21980.322935327
2009-12-19,21866.79764348
2009-12-20,21854.806449173
2009-12-21,21816.82388523
2009-12-22,21750.889953854
2009-12-23,21718.010356484
2009-12-24,21704.589725219
2009-12-25,21729.449508288
2009-12-26,21729.84895826
2009-12-27,21759.962607764
2009-12-28,21787.034068135
2009-12-29,21819.187759011
2009-12-30,21847.670436196
2009-12-31,21893.850993324
2010-01-01,21914.41691789
2010-01-02,21932.234388018
2010-01-03,21979.568435463
2010-01-04,22015.940681494
2010-01-05,22067.797039597
2010-01-06,22107.295629561
2010-01-07,22143.338373247
2010-01-08,22182.619699589
2010-01-09,22217.02781697
2010-01-10,22262.362331242
2010-01-11,22302.918701264
2010-01-12,22545.59225026
2010-01-13,22594.347233081
2010-01-14,22635.010229208
2010-01-15,22482.798338102
2010-01-16,22523.703372778
2010-01-17,22567.432037895
2010-01-18,22609.262305785
2010-01-19,22650.733355518
2010-01-20,22703.549567605
2010-01-21,22762.799991942
2010-01-22,22807.296442971
2010-01-23,22861.823648659
2010-01-24,22913.355607908
2010-01-25,23583.63520566
2010-01-26,23062.831854722
2010-01-27,23116.818962749
2010-01-28,23175.071548765
2010-01-29,23240.324228967
2010-01-30,23309.952131948
2010-01-31,23364.989940633
2010-02-01,23426.488658076
2010-02-02,23474.971588256
2010-02-03,23565.263730047
2010-02-04,23641.843934246
2010-02-05,43057.930165482
2010-02-06,43231.63752906
2010-02-07,43405.483914239
2010-02-08,44299.327174719
2010-02-09,44498.417108078
2010-02-10,44670.226642047
2010-02-11,44793.971255601
2010-02-12,45024.657791104
2010-02-13,45713.409856856
2010-02-14,51669.267801543
2010-02-15,51817.144453677
2010-02-16,52060.641854773
2010-02-17,51895.218202111
2010-02-18,52096.416478256
2010-02-19,52291.705573666
2010-02-20,52491.774285037
2010-02-21,52665.379837123
2010-02-22,53463.471631587
2010-02-23,53761.128203623
2010-02-24,56881.163823888
2010-02-25,57673.207953624
2010-02-26,60073.076514693
2010-02-27,60846.091643116
2010-02-28,61392.306423846
2010-03-01,62097.058683837
2010-03-02,62817.695399148
2010-03-03,61816.062330448
2010-03-04,59687.028231962
2010-03-05,60163.976344188
2010-03-06,64302.268855756
2010-03-07,62570.708445153
2010-03-08,71329.225785022
2010-03-09,75654.769328683
2010-03-10,78467.115186151
2010-03-11,81423.213495404
2010-03-12,82139.769333013
2010-03-13,82767.142781389
2010-03-14,83212.201914114
2010-03-15,83646.896298334
2010-03-16,84277.143404328
2010-03-17,84761.661571791
2010-03-18,85384.262502286
2010-03-19,89968.817807395
2010-03-20,92025.440905842
2010-03-21,92559.466552703
2010-03-22,93191.011587793
2010-03-23,93913.486742706
2010-03-24,95114.144333733
2010-03-25,88172.736764414
2010-03-26,88592.228267248
2010-03-27,88707.117407776
2010-03-28,89417.299483269
2010-03-29,89692.690156972
2010-03-30,90261.29076651
2010-03-31,91026.085329751
2010-04-01,92013.464684862
2010-04-02,92363.632086976
2010-04-03,93836.634920637
2010-04-04,94660.847202051
2010-04-05,96089.655187506
2010-04-06,96833.89781465
2010-04-07,97653.027613407
2010-04-08,102343.8831266
2010-04-09,101965.59264888
2010-04-10,103457.91387287
2010-04-11,106414.13239353
2010-04-12,107466.43722601
2010-04-13,108601.15402468
2010-04-14,108332.03143547
2010-04-15,102171.03458238
2010-04-16,115495.76501837
2010-04-17,115029.98174284
2010-04-18,116193.0305054
2010-04-19,112946.41402374
2010-04-20,113618.36213214
2010-04-21,114286.08857431
2010-04-22,113026.51467075
2010-04-23,113356.27089224
2010-04-24,113757.20234483
2010-04-25,117528.96622704
2010-04-26,122356.57661985
2010-04-27,134667.26230261
2010-04-28,134593.22138345
2010-04-29,135029.50026248
2010-04-30,132656.2917194
2010-05-01,132941.50792337
2010-05-02,133197.16564605
2010-05-03,133170.36741049
2010-05-04,139535.04815605
2010-05-05,145396.56706443
2010-05-06,147746.2409101
2010-05-07,149352.37867167
2010-05-08,154764.59309075
2010-05-09,156823.06294285
2010-05-10,160467.2934491
2010-05-11,162333.34890008
2010-05-12,163537.50713653
2010-05-13,164272.42833876
2010-05-14,169790.04748731
2010-05-15,171855.04009872
2010-05-16,173149.09422063
2010-05-17,174540.52579257
2010-05-18,174995.80548987
2010-05-19,168863.20217003
2010-05-20,170218.40482398
2010-05-21,155341.2643328
2010-05-22,172022.13435736
2010-05-23,183087.20427654
2010-05-24,185132.07860325
2010-05-25,187710.93624321
2010-05-26,194291.52568816
2010-05-27,194537.23952626
2010-05-28,176923.28683578
2010-05-29,189063.15855119
2010-05-30,189621.7430826
2010-05-31,192481.4337043
2010-06-01,194784.65474072
2010-06-02,197642.16774456
2010-06-03,200212.82640924
2010-06-04,199401.99831524
2010-06-05,200137.12163656
2010-06-06,200781.38530237
2010-06-07,205064.10205794
2010-06-08,211176.3413434
2010-06-09,229632.77106907
2010-06-10,221349.01863706
2010-06-11,225564.36064939
2010-06-12,226583.74033376
2010-06-13,228742.72151891
2010-06-14,234457.59083392
2010-06-15,238117.01762849
2010-06-16,240099.52982093
2010-06-17,240493.02968932
2010-06-18,236828.0511076
2010-06-19,259905.75076679
2010-06-20,260445.18300574
2010-06-21,260410.34013172
2010-06-22,257750.73993506
2010-06-23,248323.36472307
2010-06-24,237692.23993483
2010-06-25,230788.75325121
2010-06-26,254602.13968631
2010-06-27,256221.23572459
2010-06-28,255664.19366963
2010-06-29,267996.87093631
2010-06-30,253313.06992736
2010-07-01,261392.65508761
2010-07-02,285508.19417954
2010-07-03,277584.74851985
2010-07-04,273717.5889315
2010-07-05,256491.8215517
2010-07-06,261481.47209984
2010-07-07,269600.428276
2010-07-08,271395.06485954
2010-07-09,274256.57858221
2010-07-10,279802.26185124
2010-07-11,282773.41601352
2010-07-12,276894.3418172
2010-07-13,284733.8910762
2010-07-14,266640.61811412
2010-07-15,284565.01739336
2010-07-16,281039.05580543
2010-07-17,288529.97383391
2010-07-18,299326.81808982
2010-07-19,321577.21413206
2010-07-20,324254.34347618
2010-07-21,331309.14422246
2010-07-22,326460.09749168
2010-07-23,333397.94182112
2010-07-24,348572.74165568
2010-07-25,346159.8787093
2010-07-26,344713.57124389
2010-07-27,347868.1488414
2010-07-28,307422.36355162
2010-07-29,307367.75990906
2010-07-30,305607.10766205
2010-07-31,305799.84253714
2010-08-01,310060.05940207
2010-08-02,312280.18508328
2010-08-03,314011.97432099
2010-08-04,314947.53532017
2010-08-05,324144.81739233
2010-08-06,323355.50886706
2010-08-07,321210.5276813
2010-08-08,322675.65620792
2010-08-09,324779.41370082
2010-08-10,329527.08540799
2010-08-11,336675.58894153
2010-08-12,333002.97615087
2010-08-13,335073.26075216
2010-08-14,336295.71179425
2010-08-15,336221.29443594
2010-08-16,333957.61913947
2010-08-17,339291.51903956
2010-08-18,340398.34839591
2010-08-19,343289.80515486
2010-08-20,339665.4299031
2010-08-21,328306.61915007
2010-08-22,330583.59953891
2010-08-23,334166.93980024
2010-08-24,340964.30616191
2010-08-25,340514.00838316
2010-08-26,337914.39413133
2010-08-27,333486.49257872
2010-08-28,332723.51071302
2010-08-29,330667.75680705
2010-08-30,330028.50446409
2010-08-31,346678.7678971
2010-09-01,345187.33537699
2010-09-02,352663.58445073
2010-09-03,354298.73069768
2010-09-04,352601.36860566
2010-09-05,350200.75287438
2010-09-06,355632.8902632
2010-09-07,356293.11651801
2010-09-08,359054.70890615
2010-09-09,359558.76784106
2010-09-10,360583.76752874
2010-09-11,363089.9310264
2010-09-12,364924.10275345
2010-09-13,372953.99295277
2010-09-14,368966.76726012
2010-09-15,369361.40031442
2010-09-16,374760.59893392
2010-09-17,378519.96027895
2010-09-18,372624.20617874
2010-09-19,373501.25306182
2010-09-20,372713.19394634
2010-09-21,373595.24378593
2010-09-22,364400.38696696
2010-09-23,392975.6803809
2010-09-24,393781.60453317
2010-09-25,391930.56622151
2010-09-26,401674.17402453
2010-09-27,408339.47826739
2010-09-28,403157.39968006
2010-09-29,403124.60344013
2010-09-30,409040.87472116
2010-10-01,436092.58180579
2010-10-02,373707.51076064
2010-10-03,377842.39044651
2010-10-04,391556.87240601
2010-10-05,404082.13121094
2010-10-06,442674.10325186
2010-10-07,456811.34090103
2010-10-08,447298.36078562
2010-10-09,465948.50922929
2010-10-10,453621.97632592
2010-10-11,458910.67736815
2010-10-12,459172.71340443
2010-10-13,459151.48985457
2010-10-14,500979.38501293
2010-10-15,461151.60705811
2010-10-16,482570.7999496
2010-10-17,489628.89625054
2010-10-18,486565.01901731
2010-10-19,488591.69246446
2010-10-20,483601.25991752
2010-10-21,487531.23503932
2010-10-22,496501.44069576
2010-10-23,503306.81837146
2010-10-24,484895.88998244
2010-10-25,491671.53952411
2010-10-26,496998.06163504
2010-10-27,483807.75384187
2010-10-28,468614.83179448
2010-10-29,467722.69120638
2010-10-30,481835.35312795
2010-10-31,474873.27433595
2010-11-01,482921.53367371
2010-11-02,495833.53702923
2010-11-03,492954.51006887
2010-11-04,433620.88490126
2010-11-05,438951.04599041
2010-11-06,415674.87733491
2010-11-07,425715.53386861
2010-11-08,375297.28143185
2010-11-09,378297.77457373
2010-11-10,382987.07807362
2010-11-11,381589.19491703
2010-11-12,383391.1296835
2010-11-13,378363.13898153
2010-11-14,390896.62837412
2010-11-15,381927.40111097
2010-11-16,386271.24625895
2010-11-17,389317.92735568
2010-11-18,393794.04634355
2010-11-19,397517.95433304
2010-11-20,398288.34682495
2010-11-21,405048.80850685
2010-11-22,402459.88229636
2010-11-23,416463.80376535
2010-11-24,422902.60780399
2010-11-25,447658.90766192
2010-11-26,440292.02103978
2010-11-27,444505.26440946
2010-11-28,444073.42339825
2010-11-29,441251.9600533
2010-11-30,449414.8611147
2010-12-01,459506.28862221
2010-12-02,484262.83876488
2010-12-03,495548.40277619
2010-12-04,478347.11371665
2010-12-05,482021.83910001
2010-12-06,455244.06950864
2010-12-07,457731.08306543
2010-12-08,457780.39042486
2010-12-09,466944.76582777
2010-12-10,469706.24868886
2010-12-11,461992.26127831
2010-12-12,463524.26878833
2010-12-13,477934.9028946
2010-12-14,482854.92143342
2010-12-15,496047.17701029
2010-12-16,495246.91728105
2010-12-17,495482.92220237
2010-12-18,493363.53629105
2010-12-19,457596.14754188
2010-12-20,467700.6988187
2010-12-21,498489.68911003
2010-12-22,500236.08099899
2010-12-23,502229.77580854
2010-12-24,503645.42302107
2010-12-25,499871.75723657
2010-12-26,501097.30076811
2010-12-27,512698.19560592
2010-12-28,505517.82924848
2010-12-29,507186.19399039
2010-12-30,509450.77872992
2010-12-31,514178.27777077
2011-01-01,516852.52131492
2011-01-02,523038.51212572
2011-01-03,526512.44628842
2011-01-04,525692.91733121
2011-01-05,526635.74874629
2011-01-06,532276.0135892
2011-01-07,534660.58873187
2011-01-08,545674.83116524
2011-01-09,548439.44652069
2011-01-10,568413.80809248
2011-01-11,532095.15961932
2011-01-12,531869.55552697
2011-01-13,524973.00380885
2011-01-14,525617.63556553
2011-01-15,528100.05556704
2011-01-16,541807.66366219
2011-01-17,542349.27339057
2011-01-18,537045.47311085
2011-01-19,549454.03403349
2011-01-20,534662.85111287
2011-01-21,538066.60244688
2011-01-22,538119.81524169
2011-01-23,548434.5385459
2011-01-24,542586.99279271
2011-01-25,538667.04791092
2011-01-26,554960.73004784
2011-01-27,560043.9912158
2011-01-28,567585.7600905
2011-01-29,558267.6325771
2011-01-30,559793.5757299
2011-01-31,562731.96058331
2011-02-01,568147.85407902
2011-02-02,548563.31834307
2011-02-03,552454.42614001
2011-02-04,564592.73508388
2011-02-05,557179.49321663
2011-02-06,552618.79384908
2011-02-07,590059.17738008
2011-02-08,596899.90577265
2011-02-09,577452.25848935
2011-02-10,578504.17799838
2011-02-11,592597.14646862
2011-02-12,595258.94271551
2011-02-13,593942.05689221
2011-02-14,592075.81530634
2011-02-15,603517.98568632
2011-02-16,604303.19461204
2011-02-17,606505.88089409
2011-02-18,603935.97579902
2011-02-19,605974.9202454
2011-02-20,608050.76531957
2011-02-21,607754.52081941
2011-02-22,617050.37980718
2011-02-23,619781.95246227
2011-02-24,626127.53425414
2011-02-25,626795.04193068
2011-02-26,632489.92623099
2011-02-27,634534.86809662
2011-02-28,675162.97789739
2011-03-01,613353.01757979
2011-03-02,629385.12832322
2011-03-03,636769.33015742
2011-03-04,665809.7320542
2011-03-05,657900.66484379
