SOPR,date,Active_MVRV,Price,buy_score,sell_score
1.009577697,2013-01-01,0.8086998667,12.5,0.0,0.14852904067241968
1.0097812078,2013-01-02,0.8073736546,12.5,0.0,0.14846376483083845
1.0096209018,2013-01-03,0.8060349331,12.5,0.0,0.14836279734946048
1.0207622929,2013-01-04,0.8044096715,12.5,0.0,0.14932739812010612
1.006108513,2013-01-05,0.8036733145,12.5,0.0,0.14787494795026154
1.0046995736,2013-01-06,0.8025501922,12.5,0.0,0.14766801503546256
1.0062732382,2013-01-07,0.8012275632,12.5,0.0,0.1477343728127186
1.0237272492,2013-01-08,0.7992733451,12.5,0.0,0.14928335268949636
1.0197423369,2013-01-09,0.7982567024,12.5,0.0,0.14883617917732028
1.0253868897,2013-01-10,0.7969292305,12.5,0.0,0.14929264563269914
1.0121952409,2013-01-11,0.7959531551,12.5,0.0,0.14796509428146914
1.0056717947,2013-01-12,0.7953020292,12.5,0.0,0.14729783272317293
1.0141416407,2013-01-13,0.7941860458,12.5,0.0,0.14803878063524584
1.0169194614,2013-01-14,0.7931423506,12.5,0.0,0.14823845702691077
1.0091023824,2013-01-15,0.7921985358,12.5,0.0,0.14742841614128233
1.0123309006,2013-01-16,0.7912885263,12.5,0.0,0.1476798640660828
1.0163580658,2013-01-17,0.790223463,12.5,0.0,0.1479979925714034
1.0160645305,2013-01-18,0.789625525,12.5,0.0,0.14793161094258706
1.0125963079,2013-01-19,0.7886535361,12.5,0.0,0.1475368455422224
1.0127007263,2013-01-20,0.7874317607,12.5,0.0,0.1474687435800583
1.0201511876,2013-01-21,0.7860745449,12.5,0.0,0.14809650386954715
1.0501358695,2013-01-22,0.7846287278,12.5,0.0,0.15087974252144523
1.0125271989,2013-01-23,0.7846868636,12.5,0.0,0.14727660197014047
1.0317309126,2013-01-24,0.7828810007,12.5,0.0,0.14900287232325216
1.0185991833,2013-01-25,0.782491324,12.5,0.0,0.14771855990596475
1.0081180273,2013-01-26,0.7822724207,12.5,0.0,0.14669936925629504
1.0427998772,2013-01-27,0.7812207231,12.5,0.0,0.1499582882291765
1.0171796685,2013-01-28,0.7803808354,12.5,0.0,0.14744748388291287
1.0376390214,2013-01-29,0.7794414309,12.5,0.0,0.1493495746781348
1.0552384034,2013-01-30,0.7782817275,12.5,0.0,0.1509632949463877
1.0372496069,2013-01-31,0.777371145,12.5,0.0,0.14917986079490808
1.0890862604,2013-02-01,0.7764004474,12.5,0.0,0.15408918916401138
1.0290447164,2013-02-02,0.7767610199,12.5,0.0,0.1483539618632641
1.0096166825,2013-02-03,0.7760951023,12.5,0.0,0.14644814077480048
1.0260651669,2013-02-04,0.7742964868,12.5,0.0,0.1479106343824197
1.0195618672,2013-02-05,0.7743067789,12.5,0.0,0.14728759381193546
1.0074091012,2013-02-06,0.7734870835,12.5,0.0,0.14606967487092212
1.0161877591,2013-02-07,0.7723740166,12.5,0.0,0.1468404258430653
1.0204636865,2013-02-08,0.7715935754,12.5,0.0,0.1472006096522448
1.0368062557,2013-02-09,0.7699846135,12.5,0.0,0.14866507128052459
1.009976333,2013-02-10,0.7704696416,12.5,0.0,0.1461229600302765
1.020724661,2013-02-11,0.7690304727,12.5,0.0,0.14706176224551787
1.0202277772,2013-02-12,0.7682704051,12.5,0.0,0.14696551246914064
1.0227859541,2013-02-13,0.7672923854,12.5,0.0,0.14714832300404873
1.0186632803,2013-02-14,0.7666677967,12.5,0.0,0.14671300409457033
1.0561360816,2013-02-15,0.7646827764,12.5,0.0,0.15017991560404126
1.0210869771,2013-02-16,0.7669805919,12.5,0.0,0.1469654476789553
1.0152558334,2013-02-17,0.7664416404,12.5,0.0,0.1463717534084442
1.0236976095,2013-02-18,0.7652331896,12.5,0.0,0.14710409722418621
1.0198498523,2013-02-19,0.7645260255,12.5,0.0,0.14668986458374084
1.0308905483,2013-02-20,0.7631226704,12.5,0.0,0.14765899615023614
1.0078577519,2013-02-21,0.7631329068,12.5,0.0,0.14545069151446272
1.0140354222,2013-02-22,0.7621361399,12.5,0.0,0.1459794307390465
1.0137123128,2013-02-23,1.1459551818,19.7083333333,0.0,0.17048853951543866
1.1006727268,2013-02-24,1.6464158247,29.8,0.0,0.21082624100944852
1.6308390452,2013-02-25,1.5532438785,29.8,0.0,0.255714713275615
1.2830462324,2013-02-26,1.5086487305,29.8,0.0,0.21950839848138992
1.1140920419,2013-02-27,1.4896220501,29.8,0.0,0.2020883539560619
1.2374206581,2013-02-28,1.4469223615,29.8,0.0,0.21118610410289496
1.11741564,2013-03-01,1.4307322041,29.8,0.0,0.1986418850847377
1.0804391244,2013-03-02,1.4191440755,29.8,0.0,0.19435474841225228
1.0826244296,2013-03-03,1.4097154089,29.8,0.0,0.19396149281149905
1.1249916196,2013-03-04,1.3907812974,29.8,0.0,0.1968141326147123
1.1397108143,2013-03-05,1.3685354454,29.8,0.0,0.1968034513642849
1.1564285665,2013-03-06,1.3407364351,29.8,0.0,0.19662939143010463
1.1514898502,2013-03-07,1.322644662,29.8,0.0,0.19499901707920192
1.0736769099,2013-03-08,1.3132620356,29.8,0.0,0.18693647764347782
1.0987053711,2013-03-09,1.3014169309,29.8,0.0,0.18857949479508146
1.0643764475,2013-03-10,1.2934628006,29.8,0.0,0.18477862090232103
1.0730563331,2013-03-11,1.2675044815,29.8,0.0,0.1839513773929114
1.0148920718,2013-03-12,2.6298190868,71.2983333333,0.0,0.2654749436268271
1.5044298414,2013-03-13,2.058757311,57.1175,0.0,0.2759122712407981
1.2910378345,2013-03-14,2.0630298924,59.0729166667,0.0,0.25572009660250633
1.2560108464,2013-03-15,1.8443101865,53.6891666667,0.0,0.23837663397393216
1.12994333,2013-03-16,1.7667110634,52.6429166667,0.0,0.22132470897975193
1.0387791648,2013-03-17,1.6871194363,50.2245833333,0.0,0.20749279403696008
1.059275764,2013-03-18,1.6680661806,50.0858333333,0.0,0.20824031831108653
1.1029680829,2013-03-19,1.7722632843,55.4829166667,0.0,0.21909263963839037
1.1087710486,2013-03-20,1.9629382582,63.8904166667,0.0,0.23184028825953967
1.2755989667,2013-03-21,1.8493648227,63.7620833333,0.0,0.24057840802308325
1.1650203325,2013-03-22,2.668147931,102.27625,0.0,0.2823236036836123
1.4063762143,2013-03-23,2.0821196779,80.5354166667,0.0,0.26800215437482144
1.2206769189,2013-03-24,2.0498347657,81.825,0.0,0.24812848477426244
1.2458171485,2013-03-25,1.9759325615,81.7125,0.0,0.24581449917832165
1.1376498962,2013-03-26,1.8824543196,78.4925,0.0,0.22946404069891196
1.1583245385,2013-03-27,1.987515508,86.9545833333,0.0,0.23816409963799884
1.1559443375,2013-03-28,2.0187731015,91.9216666667,0.0,0.23993433181818113
1.1454295725,2013-03-29,1.9014187583,88.895,0.0,0.23142267246659542
1.1530504005,2013-03-30,2.1672403383,105.7116666667,0.0,0.24914928392252134
1.2030960267,2013-03-31,2.1125345935,105.01875,0.0,0.25045120601295623
1.4316021147,2013-04-01,2.1928777308,120.13875,0.0,0.2775029398055941
1.2307708339,2013-04-02,2.1418178952,120.6541666667,0.0,0.25497763259306383
1.4800980597,2013-04-03,1.9955510819,122.4354166667,0.0,0.2695375396422523
1.1421671633,2013-04-04,2.1342780296,135.6820833333,0.0,0.2459980286582708
1.5641020136,2013-04-05,2.1853575428,150.4633333333,0.0,0.2897295200922074
1.2638501522,2013-04-06,2.0411390585,142.8841666667,0.0,0.25171303719818267
1.2246505251,2013-04-07,2.2098938227,161.6395833333,0.0,0.25874321017900614
1.2619052726,2013-04-08,2.3542592586,185.5458333333,0.0,0.2715463644083844
1.6837286691,2013-04-09,2.3325313184,213.5616666667,0.0,0.31061210356792557
1.5268861741,2013-04-10,2.4311094258,260.9045833333,0.0,0.3018728845131087
1.4287426607,2013-04-11,2.0661498484,222.5183333333,0.0,0.26912615012953367
1.24318998,2013-04-12,1.2298411074,123.8275,0.0,0.19785996650900015
0.9102143463,2013-04-13,1.4714422073,149.3154166667,0.0,0.18137311647043045
1.0897681445,2013-04-14,1.4677474501,150.0,0.0,0.1983569836315095
1.1036119163,2013-04-15,1.3665855749,139.2308333333,0.0,0.1932167203156374
1.1893844619,2013-04-16,1.1095211509,111.79625,0.0,0.18500689845408014
0.990817698,2013-04-17,1.0789775956,107.98625,0.0,0.16401051146379914
0.9356540705,2013-04-18,1.3092102088,132.0320833333,0.0,0.17344034439762218
1.1036663761,2013-04-19,1.2469187339,126.0445833333,0.0,0.1855708485885204
1.1230329957,2013-04-20,1.2219896439,124.3845833333,0.0,0.1858343211778673
1.0615565503,2013-04-21,1.3306159519,136.59375,0.0,0.18688362614711254
1.1133175268,2013-04-22,1.3129569298,135.5545833333,0.0,0.19071870146704528
1.1735790989,2013-04-23,1.3032817241,136.4758333333,0.0,0.19587948428248542
1.2202063568,2013-04-24,1.3696284504,147.4920833333,0.0,0.20459325515463755
1.0707210416,2013-04-25,1.492185072,163.8433333333,0.0,0.1980927314596204
1.1652729194,2013-04-26,1.3905652193,153.6554166667,0.0,0.200663493229042
1.2165058702,2013-04-27,1.3715276233,153.5145833333,0.0,0.2043597869010731
1.0811127172,2013-04-28,1.2495097516,139.8075,0.0,0.18357350207169632
1.0662028231,2013-04-29,1.2500715093,141.265,0.0,0.18217948636404277
0.9931318383,2013-04-30,1.359026113,153.8791666667,0.0,0.18213780776842176
1.1046544359,2013-05-01,1.2783345652,144.4408333333,0.0,0.18767423083389478
1.0901227327,2013-05-02,1.1056756529,124.1325,0.0,0.17524133939384398
1.0678763783,2013-05-03,0.9245874485,102.6458333333,0.0,0.16152963419868632
0.9094198822,2013-05-04,1.0150744292,112.7108333333,0.0,0.15211830506942162
0.9893522535,2013-05-05,1.2625460749,141.5316666667,0.0,0.17560671826530713
1.1214878507,2013-05-06,1.1423277257,128.2720833333,0.0,0.1805928194363548
1.035489094,2013-05-07,1.0953156455,123.27125,0.0,0.1693393191996264
0.9446794467,2013-05-08,1.1561786045,130.49125,0.0,0.16452159736250038
